name,lat,lng,rating,user_ratings_total,vicinity
Family Mall,12.9586996,77.6382479,4.0,940,"Near-Srinidhi Sagar Deluxe, 304, 7th Cross Road, Domlur, Bengaluru"
LITTLE MART,12.961648,77.6372856,4.6,16,India
WASIM FRUIT SHOP,12.9753074,77.6233742,5.0,1,"near ULSOOR MARKET, BAZAR STREET, near ULSOOR MARKET, Ulsoor Road, Bengaluru"
CEEKAY SUPERMARKET ll,12.9621097,77.6469034,4.0,28,"No.128, 5th Phase, HAL 2nd Stage, Kodihalli, Bengaluru"
Ramdas Stores,12.9753387,77.6229965,3.8,20,"138, Bazaar Street, Halasuru, Someshwarpura"
SADAF STORE,12.9686672,77.6253311,4.5,17,"Gowthamapuram, Jogupalya, Bengaluru"
Ceekay Supermarket,12.9603606,77.63634909999999,4.2,872,"38, 1st Main Road, Domlur, Bengaluru"
Freshpik,12.9735618,77.6205177,3.9,115,"Trinity Circle, 4th Floor, 1 MG Mall, Sivanchetti Gardens, Bengaluru"
Sagar Super Bazaar,12.9579244,77.6448309,4.2,42,"XJ5V+5W8, Kodihalli, Bengaluru"
New top in town supermarket,12.956462,77.6380816,3.0,6,"Victoria II Apartment, Patel Ram Reddy Road, Bengaluru"
FRESH VEGETABLE,12.9627024,77.6569138,0.0,0,"near Durga, Maheshwaramma Temple Road, Murugeshpalya, Murugesh Palya, Bengaluru"
